Address,City,State,Median Household Income,Address_Clean
"300 BLOCK OF W MERLE HIBBS BOULEVARD, Marshalltown, IA",Marshalltown,IA,"$65,000","300 block of w merle hibbs boulevard, marshalltown, ia"
"100 BLOCK OF IOWA AVENUE W, Marshalltown, IA",Marshalltown,IA,"$65,000","100 block of iowa avenue w, marshalltown, ia"
"400 BLOCK OF PLAZA HEIGHTS RD, Marshalltown, IA",Marshalltown,IA,"$65,000","400 block of plaza heights rd, marshalltown, ia"
"500 BLOCK OF IOWA AVENUE W, Marshalltown, IA",Marshalltown,IA,"$65,000","500 block of iowa avenue w, marshalltown, ia"
"3300 BLOCK OF S CENTER STREET, Marshalltown, IA",Marshalltown,IA,"$65,000","3300 block of s center street, marshalltown, ia"
"2800 BLOCK OF S CENTER STREET, Marshalltown, IA",Marshalltown,IA,"$65,000","2800 block of s center street, marshalltown, ia"
"2300 BLOCK OF S CENTER STREET, Marshalltown, IA",Marshalltown,IA,"$65,000","2300 block of s center street, marshalltown, ia"
"2200 BLOCK OF S CENTER STREET, Marshalltown, IA",Marshalltown,IA,"$65,000","2200 block of s center street, marshalltown, ia"
"2500 BLOCK OF S CENTER STREET, Marshalltown, IA",Marshalltown,IA,"$65,000","2500 block of s center street, marshalltown, ia"
"2100 BLOCK OF S CENTER STREET, Marshalltown, IA",Marshalltown,IA,"$65,000","2100 block of s center street, marshalltown, ia"
"800 BLOCK OF IOWA AVENUE W, Marshalltown, IA",Marshalltown,IA,"$65,000","800 block of iowa avenue w, marshalltown, ia"
"2900 BLOCK OF S 6TH STREET UNIT 229 B, Marshalltown, IA",Marshalltown,IA,"$65,000","2900 block of s 6th street unit 229 b, marshalltown, ia"
"100 BLOCK OF LAFRENTZ LANE, Marshalltown, IA",Marshalltown,IA,"$65,000","100 block of lafrentz lane, marshalltown, ia"
"2700 BLOCK OF S CENTER STREET, Marshalltown, IA",Marshalltown,IA,"$65,000","2700 block of s center street, marshalltown, ia"
"200 BLOCK OF GLENDA DRIVE, Marshalltown, IA",Marshalltown,IA,"$65,000","200 block of glenda drive, marshalltown, ia"
"00 BLOCK OF CENTRAL IOWA DRIVE, Marshalltown, IA",Marshalltown,IA,"$65,000","00 block of central iowa drive, marshalltown, ia"
"600 BLOCK OF IOWA AVENUE W, Marshalltown, IA",Marshalltown,IA,"$65,000","600 block of iowa avenue w, marshalltown, ia"
"3400 BLOCK OF S CENTER STREET, Marshalltown, IA",Marshalltown,IA,"$65,000","3400 block of s center street, marshalltown, ia"
"3100 BLOCK OF S CENTER STREET, Marshalltown, IA",Marshalltown,IA,"$65,000","3100 block of s center street, marshalltown, ia"
"900 BLOCK OF S IOWA AVE, Mason City, IA",Mason City,IA,"$60,786","900 block of s iowa ave, mason city, ia"
"N YORKTOWN PIKE AND CHARLESTOWN SQ, Mason City, IA",Mason City,IA,"$60,786","n yorktown pike and charlestown sq, mason city, ia"
"19500 BLOCK OF THRUSH AVE, Cerro Gordo County, IA",Cerro Gordo County,IA,"$63,149","19500 block of thrush ave, cerro gordo county, ia"
"19500 BLOCK OF SPRUCE AVE, Cerro Gordo County, IA",Cerro Gordo County,IA,"$63,149","19500 block of spruce ave, cerro gordo county, ia"
"1000 BLOCK OF COLLEGE DR, Mason City, IA",Mason City,IA,"$60,786","1000 block of college dr, mason city, ia"
"500 BLOCK OF COLLEGE DR, Mason City, IA",Mason City,IA,"$60,786","500 block of college dr, mason city, ia"
"00 BLOCK OF LEXINGTON SQ, Mason City, IA",Mason City,IA,"$60,786","00 block of lexington sq, mason city, ia"
"00 BLOCK OF COLLEGE CIR, Mason City, IA",Mason City,IA,"$60,786","00 block of college cir, mason city, ia"
"00 BLOCK OF S YORKTOWN PIKE, Mason City, IA",Mason City,IA,"$60,786","00 block of s yorktown pike, mason city, ia"
"5900 BLOCK OF WESTOWN PKWY, West Des Moines, IA",West Des Moines,IA,"$82,345","5900 block of westown pkwy, west des moines, ia"
"15300 BLOCK OF HICKMAN RD, Clive, IA",Clive,IA,"$124,908","15300 block of hickman rd, clive, ia"
"2400 BLOCK OF NW WILLOWBROOKE DR, Johnston, IA",Johnston,IA,"$98,324","2400 block of nw willowbrooke dr, johnston, ia"
"2400 BLOCK OF NW WILLOWBR0OKE DR, Johnston, IA",Johnston,IA,"$98,324","2400 block of nw willowbr0oke dr, johnston, ia"
"4100 BLOCK OF WESTOWN PKWY, West Des Moines, IA",West Des Moines,IA,"$82,345","4100 block of westown pkwy, west des moines, ia"
"1600 BLOCK OF NW 114TH ST, Des Moines, IA",Des Moines,IA,"$62,378","1600 block of nw 114th st, des moines, ia"
"CROSSROADS PARK, West Des Moines, IA",West Des Moines,IA,"$82,345","crossroads park, west des moines, ia"
"1100 BLOCK OF TIMBER RIDGE DR, Norwalk, IA",Norwalk,IA,"$94,176","1100 block of timber ridge dr, norwalk, ia"
"5000 BLOCK OF OAK HILL CT, West Des Moines, IA",West Des Moines,IA,"$82,345","5000 block of oak hill ct, west des moines, ia"
"7200 BLOCK OF VISTA DR, West Des Moines, IA",West Des Moines,IA,"$82,345","7200 block of vista dr, west des moines, ia"
"1600 BLOCK OF NW 114TH ST, Clive, IA",Clive,IA,"$124,908","1600 block of nw 114th st, clive, ia"
"SE 60TH AND SE 64TH AVENUE, Carlisle, IA",Carlisle,IA,"$94,214","se 60th and se 64th avenue, carlisle, ia"
"900 BLOCK OF SE WILLOW BROOK DR, Waukee, IA",Waukee,IA,"$106,846","900 block of se willow brook dr, waukee, ia"
"00 BLOCK OF TASMAN DR, Santa Clara County, CA",Santa Clara County,CA,"$153,792","00 block of tasman dr, santa clara county, ca"
"00 BLOCK OF TECHNOLOGY DR, Milpitas, CA",Milpitas,CA,"$166,769","00 block of technology dr, milpitas, ca"
"N 1ST ST, Santa Clara County, CA",Santa Clara County,CA,"$153,792","n 1st st, santa clara county, ca"
"3500 BLOCK OF N 1ST ST, Santa Clara County, CA",Santa Clara County,CA,"$153,792","3500 block of n 1st st, santa clara county, ca"
"1500 BLOCK OF NELSON CT, Santa Clara, CA",Santa Clara,CA,"$165,352","1500 block of nelson ct, santa clara, ca"
"00 BLOCK OF E TASMAN DR, Santa Clara County, CA",Santa Clara County,CA,"$153,792","00 block of e tasman dr, santa clara county, ca"
"1500 BLOCK OF AGNEW RD, Santa Clara, CA",Santa Clara,CA,"$165,352","1500 block of agnew rd, santa clara, ca"
"3900 BLOCK OF RIVERMARK PZ, Santa Clara, CA",Santa Clara,CA,"$165,352","3900 block of rivermark pz, santa clara, ca"
"HAWTHORNE DR AND HILLSIDE DR, Bettendorf, IA",Bettendorf,IA,"$100,570","hawthorne dr and hillside dr, bettendorf, ia"
"7100 BLOCK OF SE 5TH ST, Des Moines, IA",Des Moines,IA,"$62,378","7100 block of se 5th st, des moines, ia"
"2700 BLOCK OF SHOREVIEW CIR, Des Moines, IA",Des Moines,IA,"$62,378","2700 block of shoreview cir, des moines, ia"
"2000 BLOCK OF MEADOW CHASE LN, Des Moines, IA",Des Moines,IA,"$62,378","2000 block of meadow chase ln, des moines, ia"
"7900 BLOCK OF SE 5TH ST, Des Moines, IA",Des Moines,IA,"$62,378","7900 block of se 5th st, des moines, ia"
"US-69, Des Moines, IA",Des Moines,IA,"$62,378","us-69, des moines, ia"
"100 BLOCK OF NORTH 1ST STREET, Carlisle, IA",Carlisle,IA,"$94,214","100 block of north 1st street, carlisle, ia"
"8900 BLOCK OF NE 25TH STREET, Carlisle, IA",Carlisle,IA,"$94,214","8900 block of ne 25th street, carlisle, ia"
"1000 BLOCK OF SOUTH 5TH STREET, Carlisle, IA",Carlisle,IA,"$94,214","1000 block of south 5th street, carlisle, ia"
"8200 BLOCK OF CRESTVIEW DR, Des Moines, IA",Des Moines,IA,"$62,378","8200 block of crestview dr, des moines, ia"
"1900 BLOCK OF E LUSTER LN, Des Moines, IA",Des Moines,IA,"$62,378","1900 block of e luster ln, des moines, ia"
"3200 BLOCK OF E PINE AVE, Des Moines, IA",Des Moines,IA,"$62,378","3200 block of e pine ave, des moines, ia"
"200 BLOCK OF COUNTY LINE RD, Des Moines, IA",Des Moines,IA,"$62,378","200 block of county line rd, des moines, ia"
"400 BLOCK OF GARFIELD STREET, Carlisle, IA",Carlisle,IA,"$94,214","400 block of garfield street, carlisle, ia"
"300 BLOCK OF NORTH 8TH STREET, Carlisle, IA",Carlisle,IA,"$94,214","300 block of north 8th street, carlisle, ia"
"6900 BLOCK OF SE 14TH ST, Des Moines, IA",Des Moines,IA,"$62,378","6900 block of se 14th st, des moines, ia"
"1900 BLOCK OF E ARMY POST RD, Des Moines, IA",Des Moines,IA,"$62,378","1900 block of e army post rd, des moines, ia"
"1000 BLOCK OF BLUESTEM DRIVE, Carlisle, IA",Carlisle,IA,"$94,214","1000 block of bluestem drive, carlisle, ia"
"100 BLOCK OF SOUTH 8TH STREET, Carlisle, IA",Carlisle,IA,"$94,214","100 block of south 8th street, carlisle, ia"
"600 BLOCK OF HIGHWAY 5, Carlisle, IA",Carlisle,IA,"$94,214","600 block of highway 5, carlisle, ia"
"2000 BLOCK OF #411 MEADOW CT, Des Moines, IA",Des Moines,IA,"$62,378","2000 block of #411 meadow ct, des moines, ia"
"800 BLOCK OF NORTH 1ST STREET, Carlisle, IA",Carlisle,IA,"$94,214","800 block of north 1st street, carlisle, ia"
"1100 BLOCK OF SOUTHWOLD RD, Des Moines, IA",Des Moines,IA,"$62,378","1100 block of southwold rd, des moines, ia"
"1000 BLOCK OF PITZER ROAD, Earlham, IA",Earlham,IA,"$103,977","1000 block of pitzer road, earlham, ia"
"2100 BLOCK OF NORTH AVE, Norwalk, IA",Norwalk,IA,"$94,176","2100 block of north ave, norwalk, ia"
"900 BLOCK OF E17TH ST, Norwalk, IA",Norwalk,IA,"$94,176","900 block of e17th st, norwalk, ia"
"2600 BLOCK OF SHADY LANE DR, Norwalk, IA",Norwalk,IA,"$94,176","2600 block of shady lane dr, norwalk, ia"
"1100 BLOCK OF ROLLING HILLS CT, Norwalk, IA",Norwalk,IA,"$94,176","1100 block of rolling hills ct, norwalk, ia"
"1800 BLOCK OF TIMBERVIEW DR, Norwalk, IA",Norwalk,IA,"$94,176","1800 block of timberview dr, norwalk, ia"
"400 BLOCK OF WRIGHT RD, Norwalk, IA",Norwalk,IA,"$94,176","400 block of wright rd, norwalk, ia"
"2600 BLOCK OF BORDER ST, Norwalk, IA",Norwalk,IA,"$94,176","2600 block of border st, norwalk, ia"
"2900 BLOCK OF SUNSET DR, Norwalk, IA",Norwalk,IA,"$94,176","2900 block of sunset dr, norwalk, ia"
"MARKETPLACE DR AND SUNSET DR, Norwalk, IA",Norwalk,IA,"$94,176","marketplace dr and sunset dr, norwalk, ia"
"NORTH AVE AND CHERRY PKWY, Norwalk, IA",Norwalk,IA,"$94,176","north ave and cherry pkwy, norwalk, ia"
"300 BLOCK OF CORMORANT DR, Norwalk, IA",Norwalk,IA,"$94,176","300 block of cormorant dr, norwalk, ia"
"500 BLOCK OF NORTH AVE, Norwalk, IA",Norwalk,IA,"$94,176","500 block of north ave, norwalk, ia"
"1100 BLOCK OF SUNSET DR, Norwalk, IA",Norwalk,IA,"$94,176","1100 block of sunset dr, norwalk, ia"
"1600 BLOCK OF NORTH AVE, Norwalk, IA",Norwalk,IA,"$94,176","1600 block of north ave, norwalk, ia"
"400 BLOCK OF LEGACY PKWY, Norwalk, IA",Norwalk,IA,"$94,176","400 block of legacy pkwy, norwalk, ia"
"1000 BLOCK OF SUNSET DR, Norwalk, IA",Norwalk,IA,"$94,176","1000 block of sunset dr, norwalk, ia"
"700 BLOCK OF HIGH RD, Norwalk, IA",Norwalk,IA,"$94,176","700 block of high rd, norwalk, ia"
"2700 BLOCK OF JACOBIN DR, Norwalk, IA",Norwalk,IA,"$94,176","2700 block of jacobin dr, norwalk, ia"
"50TH AVE AND BEARDSLEY ST, Norwalk, IA",Norwalk,IA,"$94,176","50th ave and beardsley st, norwalk, ia"
"G14 AND 50TH AVE, Norwalk, IA",Norwalk,IA,"$94,176","g14 and 50th ave, norwalk, ia"
"2200 BLOCK OF SHADY LANE DR, Norwalk, IA",Norwalk,IA,"$94,176","2200 block of shady lane dr, norwalk, ia"
"1800 BLOCK OF TIMBERVIEW, Norwalk, IA",Norwalk,IA,"$94,176","1800 block of timberview, norwalk, ia"
"2900 BLOCK OF YORDI DR, Norwalk, IA",Norwalk,IA,"$94,176","2900 block of yordi dr, norwalk, ia"
"SUNSET DR AND CHATHAM AVE, Norwalk, IA",Norwalk,IA,"$94,176","sunset dr and chatham ave, norwalk, ia"
"1100 BLOCK OF PINEHURST LN, Norwalk, IA",Norwalk,IA,"$94,176","1100 block of pinehurst ln, norwalk, ia"
"1700 BLOCK OF WETHERSFIELD DR, Norwalk, IA",Norwalk,IA,"$94,176","1700 block of wethersfield dr, norwalk, ia"
"2900 BLOCK OF CEDAR ST, Norwalk, IA",Norwalk,IA,"$94,176","2900 block of cedar st, norwalk, ia"
"300 BLOCK OF MARIE AVE, Norwalk, IA",Norwalk,IA,"$94,176","300 block of marie ave, norwalk, ia"
"200 BLOCK OF ELM AVE, Norwalk, IA",Norwalk,IA,"$94,176","200 block of elm ave, norwalk, ia"
"800 BLOCK OF MAIN ST, Norwalk, IA",Norwalk,IA,"$94,176","800 block of main st, norwalk, ia"
"500 BLOCK OF BRAEBURN DR, Norwalk, IA",Norwalk,IA,"$94,176","500 block of braeburn dr, norwalk, ia"
"500 BLOCK OF TURNBERRY DR, Norwalk, IA",Norwalk,IA,"$94,176","500 block of turnberry dr, norwalk, ia"
"1300 BLOCK OF WRIGHT RD, Norwalk, IA",Norwalk,IA,"$94,176","1300 block of wright rd, norwalk, ia"
"2700 BLOCK OF CEDAR ST, Norwalk, IA",Norwalk,IA,"$94,176","2700 block of cedar st, norwalk, ia"
"2500 BLOCK OF CEDAR ST, Norwalk, IA",Norwalk,IA,"$94,176","2500 block of cedar st, norwalk, ia"
"2000 BLOCK OF SWAN DR, Norwalk, IA",Norwalk,IA,"$94,176","2000 block of swan dr, norwalk, ia"
"1900 BLOCK OF TIMBERVIEW DR, Norwalk, IA",Norwalk,IA,"$94,176","1900 block of timberview dr, norwalk, ia"
"1000 BLOCK OF ROLLING HILLS CT, Norwalk, IA",Norwalk,IA,"$94,176","1000 block of rolling hills ct, norwalk, ia"
"2000 BLOCK OF E 18TH ST, Norwalk, IA",Norwalk,IA,"$94,176","2000 block of e 18th st, norwalk, ia"
"3000 BLOCK OF LUND ST, Norwalk, IA",Norwalk,IA,"$94,176","3000 block of lund st, norwalk, ia"
"900 BLOCK OF NORTH AVE, Norwalk, IA",Norwalk,IA,"$94,176","900 block of north ave, norwalk, ia"
"4400 BLOCK OF UNIVERSITY AV, Cedar Falls, IA",Cedar Falls,IA,"$71,011","4400 block of university av, cedar falls, ia"
"3306-B CEDAR HEIGHTS DR, Cedar Falls, IA",Cedar Falls,IA,"$71,011","3306-b cedar heights dr, cedar falls, ia"
"4100 BLOCK OF UNIVERSITY AV, Cedar Falls, IA",Cedar Falls,IA,"$71,011","4100 block of university av, cedar falls, ia"
"1700 BLOCK OF DOWNING AV, Waterloo, IA",Waterloo,IA,"$54,104","1700 block of downing av, waterloo, ia"
"4800 BLOCK OF UNIVERSITY AV, Cedar Falls, IA",Cedar Falls,IA,"$71,011","4800 block of university av, cedar falls, ia"
"100 BLOCK OF SPIEKER RD, Waterloo, IA",Waterloo,IA,"$54,104","100 block of spieker rd, waterloo, ia"
"1300 BLOCK OF KATOSKI DR, Waterloo, IA",Waterloo,IA,"$54,104","1300 block of katoski dr, waterloo, ia"
"100 BLOCK OF CORTEZ CIR, Waterloo, IA",Waterloo,IA,"$54,104","100 block of cortez cir, waterloo, ia"
"1009-4 THORNDALE AV, Waterloo, IA",Waterloo,IA,"$54,104","1009-4 thorndale av, waterloo, ia"
"600 BLOCK OF STEPHAN AV, Waterloo, IA",Waterloo,IA,"$54,104","600 block of stephan av, waterloo, ia"
"1700 BLOCK OF FLOWER ST, Waterloo, IA",Waterloo,IA,"$54,104","1700 block of flower st, waterloo, ia"
"4000 BLOCK OF JILL DR, Waterloo, IA",Waterloo,IA,"$54,104","4000 block of jill dr, waterloo, ia"
"3800 BLOCK OF CADILLAC DR, Waterloo, IA",Waterloo,IA,"$54,104","3800 block of cadillac dr, waterloo, ia"
"FALLS AV AND UNIVERSITY AV, Waterloo, IA",Waterloo,IA,"$54,104","falls av and university av, waterloo, ia"
"3900 BLOCK OF CEDAR HEIGHTS DR, Cedar Falls, IA",Cedar Falls,IA,"$71,011","3900 block of cedar heights dr, cedar falls, ia"
"3800 BLOCK OF CEDAR HEIGHTS DR, Cedar Falls, IA",Cedar Falls,IA,"$71,011","3800 block of cedar heights dr, cedar falls, ia"
"3200 BLOCK OF UNIVERSITY AV, Waterloo, IA",Waterloo,IA,"$54,104","3200 block of university av, waterloo, ia"
"4500 BLOCK OF UNIVERSITY AV, Cedar Falls, IA",Cedar Falls,IA,"$71,011","4500 block of university av, cedar falls, ia"
"N HACKETT RD AND RAINBOW DR, Waterloo, IA",Waterloo,IA,"$54,104","n hackett rd and rainbow dr, waterloo, ia"
"4117-207 UNIVERSITY AV, Cedar Falls, IA",Cedar Falls,IA,"$71,011","4117-207 university av, cedar falls, ia"
"1100 BLOCK OF BOBBI LN, Waterloo, IA",Waterloo,IA,"$54,104","1100 block of bobbi ln, waterloo, ia"
"700 BLOCK OF MAYNARD AV, Waterloo, IA",Waterloo,IA,"$54,104","700 block of maynard av, waterloo, ia"
"600 BLOCK OF HANNA BLVD, Waterloo, IA",Waterloo,IA,"$54,104","600 block of hanna blvd, waterloo, ia"
"1200 BLOCK OF DOWNING CT, Waterloo, IA",Waterloo,IA,"$54,104","1200 block of downing ct, waterloo, ia"
"3100 BLOCK OF UNIVERSITY AV, Waterloo, IA",Waterloo,IA,"$54,104","3100 block of university av, waterloo, ia"
"1500 BLOCK OF TRACEY DR, Waterloo, IA",Waterloo,IA,"$54,104","1500 block of tracey dr, waterloo, ia"
"1300 BLOCK OF BLACK HAWK RD, Waterloo, IA",Waterloo,IA,"$54,104","1300 block of black hawk rd, waterloo, ia"
"200 BLOCK OF HANNA BLVD, Waterloo, IA",Waterloo,IA,"$54,104","200 block of hanna blvd, waterloo, ia"
"3420-C UNIVERSITY AV, Waterloo, IA",Waterloo,IA,"$54,104","3420-c university av, waterloo, ia"
"1200 BLOCK OF DOWNING AV, Waterloo, IA",Waterloo,IA,"$54,104","1200 block of downing av, waterloo, ia"
"3100 BLOCK OF RAINBOW DR, Cedar Falls, IA",Cedar Falls,IA,"$71,011","3100 block of rainbow dr, cedar falls, ia"
"400 BLOCK OF LOMA ST, Waterloo, IA",Waterloo,IA,"$54,104","400 block of loma st, waterloo, ia"
"2700 BLOCK OF ALAMEDA ST, Cedar Falls, IA",Cedar Falls,IA,"$71,011","2700 block of alameda st, cedar falls, ia"
"1200 BLOCK OF DOREEN AV, Waterloo, IA",Waterloo,IA,"$54,104","1200 block of doreen av, waterloo, ia"
"2100 BLOCK OF PARRISH ST, Cedar Falls, IA",Cedar Falls,IA,"$71,011","2100 block of parrish st, cedar falls, ia"
"1500 BLOCK OF MAYNARD AV, Waterloo, IA",Waterloo,IA,"$54,104","1500 block of maynard av, waterloo, ia"
"6609-43 SAPPHIRE RD, Cedar Falls, IA",Cedar Falls,IA,"$71,011","6609-43 sapphire rd, cedar falls, ia"
"VFW ROAD, Leesville, LA",Leesville,LA,"$35,652","vfw road, leesville, la"
"7600 BLOCK OF LA 26, DeRidder, LA",DeRidder,LA,"$56,607","7600 block of la 26, deridder, la"
"IKES ROAD, Rosepine, LA",Rosepine,LA,"$57,333","ikes road, rosepine, la"
"2000 BLOCK OF SAVAGE FORKS ROAD, Leesville, LA",Leesville,LA,"$35,652","2000 block of savage forks road, leesville, la"
"500 BLOCK OF HIGH SCHOOL DR, Florien, LA",Florien,LA,"$33,125","500 block of high school dr, florien, la"
"2800 BLOCK OF US HWY 190, DeRidder, LA",DeRidder,LA,"$56,607","2800 block of us hwy 190, deridder, la"
"100 BLOCK OF W DIVISION ST; OTO SCHOOL, Anthon, IA",Anthon,IA,"$47,344","100 block of w division st; oto school, anthon, ia"
"100 BLOCK OF W MAIN ST; MINI MART, Anthon, IA",Anthon,IA,"$47,344","100 block of w main st; mini mart, anthon, ia"
"300 BLOCK OF DRIFTWOOD ST; CITY HALL, Correctionville, IA",Correctionville,IA,"$50,750","300 block of driftwood st; city hall, correctionville, ia"
"RD AND 140TH ST, Correctionville, IA",Correctionville,IA,"$50,750","rd and 140th st, correctionville, ia"
"200 BLOCK OF E 5TH STREET IN STORM LAKE, Storm Lake, IA",Storm Lake,IA,"$54,615","200 block of e 5th street in storm lake, storm lake, ia"
"1100 BLOCK OF MABEL ST, Oskaloosa, IA",Oskaloosa,IA,"$57,949","1100 block of mabel st, oskaloosa, ia"
"800 BLOCK OF A ST N, Oskaloosa, IA",Oskaloosa,IA,"$57,949","800 block of a st n, oskaloosa, ia"
"300 BLOCK OF 2ND ST N, Oskaloosa, IA",Oskaloosa,IA,"$57,949","300 block of 2nd st n, oskaloosa, ia"
"1700 BLOCK OF PELLA AVE, Oskaloosa, IA",Oskaloosa,IA,"$57,949","1700 block of pella ave, oskaloosa, ia"
"100 BLOCK OF HIGH AVE W, Oskaloosa, IA",Oskaloosa,IA,"$57,949","100 block of high ave w, oskaloosa, ia"
"800 BLOCK OF I ST N, Oskaloosa, IA",Oskaloosa,IA,"$57,949","800 block of i st n, oskaloosa, ia"
"400 BLOCK OF 4TH ST N, Oskaloosa, IA",Oskaloosa,IA,"$57,949","400 block of 4th st n, oskaloosa, ia"
"1200-BLK C AVE W, Oskaloosa, IA",Oskaloosa,IA,"$57,949","1200-blk c ave w, oskaloosa, ia"
"1700 BLOCK OF 3RD ST N, Oskaloosa, IA",Oskaloosa,IA,"$57,949","1700 block of 3rd st n, oskaloosa, ia"
"902-1 A AVE W, Oskaloosa, IA",Oskaloosa,IA,"$57,949","902-1 a ave w, oskaloosa, ia"
"GREEN ST N/ M AVE W, Oskaloosa, IA",Oskaloosa,IA,"$57,949","green st n/ m ave w, oskaloosa, ia"
"300 BLOCK OF HIGH AVE W, Oskaloosa, IA",Oskaloosa,IA,"$57,949","300 block of high ave w, oskaloosa, ia"
"1800 BLOCK OF 3RD ST N, Oskaloosa, IA",Oskaloosa,IA,"$57,949","1800 block of 3rd st n, oskaloosa, ia"
"1700 BLOCK OF A AVE W, Oskaloosa, IA",Oskaloosa,IA,"$57,949","1700 block of a ave w, oskaloosa, ia"
"800 BLOCK OF HIGH AVE E, Oskaloosa, IA",Oskaloosa,IA,"$57,949","800 block of high ave e, oskaloosa, ia"
"400 BLOCK OF MARKET ST S, Oskaloosa, IA",Oskaloosa,IA,"$57,949","400 block of market st s, oskaloosa, ia"
"A AVE E/ MARKET ST N, Oskaloosa, IA",Oskaloosa,IA,"$57,949","a ave e/ market st n, oskaloosa, ia"
"400 BLOCK OF 1ST ST S, Oskaloosa, IA",Oskaloosa,IA,"$57,949","400 block of 1st st s, oskaloosa, ia"
"300 BLOCK OF 8TH ST N, Oskaloosa, IA",Oskaloosa,IA,"$57,949","300 block of 8th st n, oskaloosa, ia"
"1301-1 E ST N, Oskaloosa, IA",Oskaloosa,IA,"$57,949","1301-1 e st n, oskaloosa, ia"
"1100 BLOCK OF D AVE W, Oskaloosa, IA",Oskaloosa,IA,"$57,949","1100 block of d ave w, oskaloosa, ia"
"500 BLOCK OF D ST S, Oskaloosa, IA",Oskaloosa,IA,"$57,949","500 block of d st s, oskaloosa, ia"
"200 BLOCK OF HIGH AVE EAST, Oskaloosa, IA",Oskaloosa,IA,"$57,949","200 block of high ave east, oskaloosa, ia"
"1400 BLOCK OF A AVE W, Oskaloosa, IA",Oskaloosa,IA,"$57,949","1400 block of a ave w, oskaloosa, ia"
"100 BLOCK OF J ST N, Oskaloosa, IA",Oskaloosa,IA,"$57,949","100 block of j st n, oskaloosa, ia"
"402-3 HIGH AVE E, Oskaloosa, IA",Oskaloosa,IA,"$57,949","402-3 high ave e, oskaloosa, ia"
"1000 BLOCK OF D AVE W, Oskaloosa, IA",Oskaloosa,IA,"$57,949","1000 block of d ave w, oskaloosa, ia"
"400 BLOCK OF 3RD ST N, Oskaloosa, IA",Oskaloosa,IA,"$57,949","400 block of 3rd st n, oskaloosa, ia"
"400-BLK A AVE W, Oskaloosa, IA",Oskaloosa,IA,"$57,949","400-blk a ave w, oskaloosa, ia"
"100 BLOCK OF D ST S, Oskaloosa, IA",Oskaloosa,IA,"$57,949","100 block of d st s, oskaloosa, ia"
"317-2 HIGH AVE E, Oskaloosa, IA",Oskaloosa,IA,"$57,949","317-2 high ave e, oskaloosa, ia"
"900 BLOCK OF 1ST AVE W, Oskaloosa, IA",Oskaloosa,IA,"$57,949","900 block of 1st ave w, oskaloosa, ia"
"300 BLOCK OF 2ND AVE E, Oskaloosa, IA",Oskaloosa,IA,"$57,949","300 block of 2nd ave e, oskaloosa, ia"
"1300 BLOCK OF A AVE W, Oskaloosa, IA",Oskaloosa,IA,"$57,949","1300 block of a ave w, oskaloosa, ia"
"800 BLOCK OF MARKET ST N, Oskaloosa, IA",Oskaloosa,IA,"$57,949","800 block of market st n, oskaloosa, ia"
"500 BLOCK OF B AVE W, Oskaloosa, IA",Oskaloosa,IA,"$57,949","500 block of b ave w, oskaloosa, ia"
"1100 BLOCK OF SANTA CLARA ST, Oskaloosa, IA",Oskaloosa,IA,"$57,949","1100 block of santa clara st, oskaloosa, ia"
